m,M,epsilon_of_M,avg_cost
0.1,0.1,0.5,0.009547529553044201
0.1,0.1,0.5,0.009343358369721106
0.1,0.1,0.5,0.009635449156183652
0.11,0.11,0.5,0.009406384260729674
0.11,0.11,0.5,0.009356447261284626
0.11,0.11,0.5,0.009540206848495835
0.11,0.11,0.5,0.009288117996473546
0.11,0.11,0.5,0.009502709968489705
0.11,0.11,0.5,0.00953805706361431
0.11,0.11,0.5,0.009504468044564635
0.11,0.11,0.5,0.00949142323746775
0.11,0.11,0.5,0.00976494480333343
0.11,0.11,0.5,0.009667856507472978
0.11,0.11,0.5,0.009656714358310992
0.11,0.11,0.5,0.009550405974870672
0.11,0.11,0.5,0.00966490355137502
0.11,0.11,0.5,0.009594816145438105
0.11,0.11,0.5,0.009661290355761559
0.11,0.11,0.5,0.009524371402539951
0.11,0.11,0.5,0.009685099323902708
0.11,0.11,0.5,0.009596801375645635
0.11,0.11,0.5,0.009589296059733377
0.11,0.11,0.5,0.009639221355176449
0.12,0.12,0.5,0.009556727295624557
0.12,0.12,0.5,0.009527459584098404
0.12,0.12,0.5,0.009537029250217176
0.12,0.12,0.5,0.009498925199235606
0.12,0.12,0.5,0.009453804165336843
0.12,0.12,0.5,0.009634020226055555
0.12,0.12,0.5,0.009638604214577327
0.12,0.12,0.5,0.009548490745140378
