m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.1,0.7,-0.0045131903961006005,,-0.007800261705522501
0.1,0.8,-0.005297666173176901,,-0.008805182381304
0.1,0.9,-0.005639714016723401,,-0.0097843025156908
0.2,0.3,-0.0029966950478408014,-0.0036901953594764003,-0.003241625570450501
0.2,0.4,-0.0034463970443848,,-0.0039991973672898005
0.2,0.5,-0.004124993553004899,,-0.004893648008885299
0.2,0.6,-0.0045892605887676,,-0.0056529850679403
0.2,0.7,-0.005419142743395401,,-0.006802566602140601
0.2,0.8,-0.006458409342775001,,-0.0080949894378151
0.2,0.9,-0.008629323529805902,,-0.010831620487906401
0.3,0.4,-0.004438826249575301,-0.0052191505948421,-0.004487023442139901
0.3,0.5,-0.0058277075884689,-0.006651100142264102,-0.006022477019813299
0.3,0.6,-0.0064559049297778,,-0.0067762740809067
0.3,0.7,-0.0080127937745802,,-0.008659180045748898
0.3,0.8,-0.009091866963598998,,-0.010124809456501899
0.3,0.9,-0.009675270597578198,,-0.011521832306959698
0.4,0.5,-0.0078231170019865,-0.007591127982053499,-0.0077264348476246
0.4,0.6,-0.008370363102666398,-0.0091271508505915,-0.008411770514695199
0.4,0.7,-0.0092460651591958,-0.0106152622592755,-0.0093674745171407
0.4,0.8,-0.011887276572510002,,-0.0123338882151984
0.4,0.9,-0.013832543276135398,,-0.0151494851611654
0.5,0.6,-0.011791027378194301,-0.0124128363284127,-0.0115773388710404
0.5,0.7,-0.0134465098115595,-0.0135106808597223,-0.013450537824531102
0.5,0.8,-0.0147498546013489,-0.016108352437677602,-0.0150163457737087
0.5,0.9,-0.0172104213069804,,-0.0182591852327151
0.6,0.7,-0.0177743978268123,-0.0190003423573786,-0.0175108260134807
0.6,0.8,-0.022395477915689802,-0.0202570360229753,-0.022264121164942204
0.6,0.9,-0.023841630304475003,,-0.0244820085173566
0.7,0.8,-0.0309218552995263,-0.0281569544390546,-0.0306010116051659
0.7,0.9,-0.0354861109265332,,-0.0356827240343801
0.8,0.9,-0.0516029258683746,-0.048813844704869,-0.0514629668973344
