m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.387,-0.35050000000000003,-0.38750000000000007,-0.386,-0.377,-0.34750000000000003,-0.38550000000000006,-0.385,-0.387,-0.34450000000000003,-0.385,-0.382
0.11,0.11,-0.388,-0.3610000000000001,-0.39049999999999996,-0.38849999999999996,-0.393,-0.36350000000000005,-0.39749999999999996,-0.394,-0.387,-0.3530000000000001,-0.386,-0.387
0.12,0.12,-0.40349999999999997,-0.3710000000000001,-0.41200000000000003,-0.41800000000000004,-0.4405,-0.4125000000000001,-0.4365,-0.42800000000000005,-0.40349999999999997,-0.35650000000000004,-0.41100000000000003,-0.41800000000000004
0.13,0.13,-0.4205,-0.38050000000000006,-0.42600000000000005,-0.43200000000000005,-0.44099999999999995,-0.406,-0.4405,-0.43400000000000005,-0.42000000000000004,-0.36550000000000005,-0.4225000000000001,-0.4255
0.14,0.14,-0.4285,-0.41000000000000003,-0.44999999999999996,-0.4325,-0.45299999999999996,-0.41700000000000004,-0.45099999999999996,-0.4405,-0.4285,-0.38,-0.4415,-0.43400000000000005
0.15,0.15,-0.45200000000000007,-0.42500000000000004,-0.46799999999999997,-0.45299999999999996,-0.4670000000000001,-0.42800000000000005,-0.46599999999999997,-0.46199999999999997,-0.4525,-0.4075000000000001,-0.4665,-0.44499999999999995
0.16,0.16,-0.48050000000000004,-0.44649999999999995,-0.4870000000000001,-0.49200000000000005,-0.492,-0.44799999999999995,-0.48750000000000004,-0.47650000000000003,-0.48050000000000004,-0.40850000000000003,-0.4840000000000001,-0.4905
0.17,0.17,-0.4960000000000001,-0.45699999999999996,-0.4955,-0.489,-0.49550000000000005,-0.45199999999999996,-0.4935,-0.48950000000000005,-0.49650000000000005,-0.42700000000000005,-0.4955,-0.481
0.18,0.18,-0.509,-0.47,-0.513,-0.5165000000000001,-0.512,-0.46649999999999997,-0.508,-0.5105000000000001,-0.5065000000000001,-0.44499999999999995,-0.507,-0.509
0.19,0.19,-0.5185,-0.472,-0.5245,-0.5385,-0.52,-0.4735,-0.519,-0.512,-0.5175000000000001,-0.45599999999999996,-0.5210000000000001,-0.5245
0.2,0.2,-0.5535,-0.5045,-0.5455000000000001,-0.542,-0.529,-0.494,-0.529,-0.533,-0.553,-0.468,-0.5409999999999999,-0.5295
0.21,0.21,-0.544,-0.5005,-0.551,-0.5395000000000001,-0.5485,-0.4975,-0.543,-0.5355000000000001,-0.5435000000000001,-0.4735,-0.547,-0.5325
0.22,0.22,-0.5585,-0.5135000000000001,-0.556,-0.5569999999999999,-0.5285,-0.488,-0.531,-0.5255,-0.5595,-0.4785,-0.543,-0.5485
0.23,0.23,-0.556,-0.516,-0.562,-0.562,-0.5505,-0.5035000000000001,-0.554,-0.538,-0.556,-0.46950000000000003,-0.556,-0.5525
0.24,0.24,-0.5920000000000001,-0.5205,-0.5835000000000001,-0.5845,-0.565,-0.496,-0.5635000000000001,-0.5515,-0.591,-0.48749999999999993,-0.5735000000000001,-0.5774999999999999
0.25,0.25,-0.5695000000000001,-0.5165000000000001,-0.5770000000000001,-0.5705,-0.6085,-0.5375000000000001,-0.6115,-0.597,-0.569,-0.47050000000000003,-0.5665,-0.5575
0.26,0.26,-0.5565,-0.5195000000000001,-0.5589999999999999,-0.56,-0.5765,-0.52,-0.5795,-0.5650000000000001,-0.556,-0.4705,-0.5509999999999999,-0.545
0.27,0.27,-0.5780000000000001,-0.5135000000000001,-0.573,-0.5815,-0.603,-0.537,-0.5954999999999999,-0.59,-0.5775000000000001,-0.46950000000000003,-0.563,-0.5685
0.28,0.28,-0.5954999999999999,-0.558,-0.5975,-0.602,-0.5680000000000001,-0.52,-0.5655000000000001,-0.5725,-0.5940000000000001,-0.5169999999999999,-0.589,-0.589
0.29,0.29,-0.6154999999999999,-0.5680000000000001,-0.6074999999999999,-0.6095,-0.6145,-0.548,-0.607,-0.6160000000000001,-0.615,-0.526,-0.5985,-0.5965
0.3,0.3,-0.6134999999999999,-0.5615,-0.612,-0.6125,-0.615,-0.565,-0.6214999999999999,-0.6165,-0.6114999999999999,-0.522,-0.6025,-0.5940000000000001
0.31,0.31,-0.6034999999999999,-0.5465,-0.599,-0.61,-0.615,-0.5485,-0.611,-0.6045,-0.6020000000000001,-0.48899999999999993,-0.5895,-0.5915
0.32,0.32,-0.6545000000000001,-0.603,-0.6505000000000001,-0.6465000000000001,-0.6315,-0.5725,-0.6275000000000001,-0.625,-0.6535,-0.5289999999999999,-0.6345000000000001,-0.6225
0.33,0.33,-0.6335,-0.5785,-0.6200000000000001,-0.625,-0.6375,-0.587,-0.633,-0.6325000000000001,-0.6325000000000001,-0.516,-0.6074999999999999,-0.5995
0.34,0.34,-0.6395000000000001,-0.565,-0.637,-0.638,-0.6525000000000001,-0.5934999999999999,-0.6545,-0.6465,-0.638,-0.4955,-0.627,-0.617
0.35,0.35,-0.648,-0.5790000000000001,-0.644,-0.6400000000000001,-0.6465000000000001,-0.591,-0.646,-0.6515000000000001,-0.6475000000000001,-0.5135000000000001,-0.6355000000000001,-0.6185
0.36,0.36,-0.6535000000000001,-0.5750000000000001,-0.645,-0.6445000000000001,-0.6335000000000001,-0.5765,-0.635,-0.6325000000000001,-0.652,-0.5005000000000001,-0.637,-0.614
0.37,0.37,-0.6605,-0.6045,-0.6585000000000001,-0.6515,-0.6585,-0.5925,-0.658,-0.6555,-0.6605,-0.5315000000000001,-0.641,-0.6315
0.38,0.38,-0.665,-0.5980000000000001,-0.663,-0.6645,-0.671,-0.6035,-0.671,-0.6625,-0.663,-0.5165,-0.643,-0.636
0.39,0.39,-0.665,-0.6160000000000001,-0.6655,-0.6679999999999999,-0.6945,-0.633,-0.6905,-0.6930000000000001,-0.663,-0.5369999999999999,-0.649,-0.6355
0.4,0.4,-0.6775,-0.6234999999999999,-0.665,-0.6695,-0.6615,-0.6099999999999999,-0.662,-0.6539999999999999,-0.6765000000000001,-0.535,-0.651,-0.6365
0.41,0.41,-0.7015,-0.64,-0.7005,-0.687,-0.679,-0.6185,-0.6775,-0.663,-0.6980000000000001,-0.5435,-0.6775,-0.6485000000000001
0.42,0.42,-0.6905000000000001,-0.631,-0.683,-0.6719999999999999,-0.6815,-0.624,-0.677,-0.6779999999999999,-0.6890000000000001,-0.5405,-0.6595,-0.6379999999999999
0.43,0.43,-0.7095,-0.658,-0.6955,-0.6965,-0.673,-0.6125,-0.6775,-0.6619999999999999,-0.7050000000000001,-0.5599999999999999,-0.6775,-0.6605
0.44,0.44,-0.698,-0.6505,-0.6920000000000001,-0.688,-0.6955,-0.635,-0.6995,-0.6915,-0.6945000000000001,-0.5275,-0.6715,-0.6455
0.45,0.45,-0.7070000000000001,-0.6585000000000001,-0.7030000000000001,-0.702,-0.6975,-0.6435,-0.6839999999999999,-0.6865,-0.7035,-0.5315000000000001,-0.6779999999999999,-0.659
0.46,0.46,-0.6930000000000001,-0.647,-0.6895,-0.6875,-0.704,-0.6479999999999999,-0.6985000000000001,-0.69,-0.69,-0.516,-0.6599999999999999,-0.644
0.47,0.47,-0.721,-0.6605000000000001,-0.7165000000000001,-0.7155,-0.7055,-0.6460000000000001,-0.7070000000000001,-0.6970000000000001,-0.7165,-0.55,-0.6875,-0.6639999999999999
0.48,0.48,-0.7065,-0.6405000000000001,-0.7085,-0.7045000000000001,-0.719,-0.6425000000000001,-0.7125,-0.71,-0.7030000000000001,-0.5285,-0.6765,-0.6540000000000001
0.49,0.49,-0.7264999999999999,-0.6675,-0.716,-0.718,-0.727,-0.6799999999999999,-0.7275,-0.724,-0.7210000000000001,-0.5285,-0.689,-0.6625000000000001
0.5,0.5,-0.7135,-0.646,-0.7065000000000001,-0.7050000000000001,-0.7150000000000001,-0.651,-0.7155,-0.7070000000000001,-0.7065,-0.5165000000000001,-0.6795,-0.6445000000000001
0.51,0.51,-0.7175,-0.6615,-0.7150000000000001,-0.7070000000000001,-0.743,-0.6855,-0.7370000000000001,-0.735,-0.7125,-0.518,-0.6864999999999999,-0.6460000000000001
0.52,0.52,-0.737,-0.6719999999999999,-0.7315,-0.7355,-0.721,-0.6659999999999999,-0.7215,-0.7195,-0.7295,-0.5235000000000001,-0.6955,-0.6655
0.53,0.53,-0.722,-0.6659999999999999,-0.7135,-0.7130000000000001,-0.7335,-0.6664999999999999,-0.7330000000000001,-0.7265,-0.7145,-0.5055,-0.6869999999999999,-0.6325000000000001
0.54,0.54,-0.7324999999999999,-0.6755,-0.7290000000000001,-0.727,-0.735,-0.6735,-0.7345,-0.732,-0.7235,-0.5309999999999999,-0.6884999999999999,-0.654
0.55,0.55,-0.7404999999999999,-0.6825,-0.7430000000000001,-0.7315,-0.7324999999999999,-0.6719999999999999,-0.7335,-0.7235,-0.734,-0.523,-0.7010000000000001,-0.6445
