m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.65,0.65,-0.6495,-0.31099999999999994,-0.516,-0.39099999999999996,-0.6295,-0.264,-0.477,-0.353,-0.28300000000000003,-0.0965,-0.11499999999999999,-0.063
0.66,0.66,-0.6585000000000001,-0.3205,-0.5,-0.41850000000000004,-0.6515000000000001,-0.286,-0.46099999999999997,-0.385,-0.25550000000000006,-0.06899999999999998,-0.09600000000000003,-0.0695
0.67,0.67,-0.6605000000000001,-0.32999999999999996,-0.504,-0.39199999999999996,-0.6475000000000001,-0.27949999999999997,-0.47150000000000003,-0.3534999999999999,-0.26150000000000007,-0.0995,-0.10299999999999998,-0.05650000000000002
0.68,0.68,-0.668,-0.33799999999999997,-0.514,-0.41900000000000004,-0.648,-0.286,-0.4744999999999999,-0.36950000000000005,-0.222,-0.0895,-0.07450000000000001,-0.07699999999999999
0.69,0.69,-0.677,-0.33599999999999997,-0.501,-0.4135,-0.661,-0.31849999999999995,-0.47450000000000003,-0.3845,-0.2595,-0.0875,-0.07699999999999999,-0.05149999999999999
0.7,0.7,-0.678,-0.3255,-0.544,-0.4115,-0.657,-0.291,-0.5025,-0.364,-0.2615,-0.08349999999999999,-0.0875,-0.05449999999999999
0.71,0.71,-0.6759999999999999,-0.31299999999999994,-0.5289999999999999,-0.38849999999999996,-0.677,-0.2855,-0.5165,-0.3695,-0.24,-0.07100000000000001,-0.0635,-0.0635
0.72,0.72,-0.6785,-0.32499999999999996,-0.5499999999999999,-0.4275,-0.6655,-0.2935,-0.506,-0.39749999999999996,-0.22749999999999998,-0.07699999999999999,-0.08300000000000002,-0.04250000000000001
0.73,0.73,-0.6885000000000001,-0.32799999999999996,-0.5155,-0.4435,-0.676,-0.3005,-0.506,-0.4015,-0.21350000000000002,-0.05149999999999999,-0.04450000000000001,-0.05350000000000002
0.74,0.74,-0.6875,-0.3405,-0.529,-0.4325,-0.6915,-0.31799999999999995,-0.5130000000000001,-0.3985,-0.202,-0.07200000000000001,-0.063,-0.0305
0.75,0.75,-0.6805000000000001,-0.3485,-0.5335,-0.41600000000000004,-0.679,-0.31399999999999995,-0.5145,-0.37900000000000006,-0.173,-0.0925,-0.037500000000000006,-0.0335
0.76,0.76,-0.6930000000000001,-0.32599999999999996,-0.527,-0.435,-0.69,-0.3,-0.5,-0.3865,-0.1975,-0.04400000000000001,-0.037000000000000005,-0.05499999999999999
0.77,0.77,-0.7090000000000001,-0.325,-0.5419999999999999,-0.4415,-0.682,-0.29000000000000004,-0.5095,-0.4,-0.19299999999999998,-0.07799999999999999,-0.047500000000000014,-0.046999999999999986
0.78,0.78,-0.6719999999999999,-0.368,-0.5445,-0.4145000000000001,-0.6859999999999999,-0.3405,-0.537,-0.3955000000000001,-0.14950000000000002,-0.0635,-0.014999999999999986,-0.03
0.79,0.79,-0.6965,-0.3615,-0.552,-0.43899999999999995,-0.6950000000000001,-0.31999999999999995,-0.535,-0.41899999999999993,-0.164,-0.078,-0.05449999999999999,-0.017499999999999988
0.8,0.8,-0.7035,-0.34349999999999997,-0.5665,-0.456,-0.719,-0.32099999999999995,-0.5425,-0.42300000000000004,-0.15950000000000003,-0.07050000000000001,-0.04199999999999998,-0.02149999999999999
0.81,0.81,-0.701,-0.3775,-0.579,-0.46,-0.6849999999999999,-0.33899999999999997,-0.532,-0.4155,-0.157,-0.061,-0.035,-0.04150000000000001
0.82,0.82,-0.706,-0.3575,-0.5700000000000001,-0.44799999999999995,-0.706,-0.31399999999999995,-0.5435,-0.4125,-0.11650000000000002,-0.063,-0.01949999999999999,-0.015000000000000013
0.83,0.83,-0.7165,-0.382,-0.591,-0.44999999999999996,-0.7090000000000001,-0.33999999999999997,-0.551,-0.4085,-0.11900000000000002,-0.06349999999999999,-0.027999999999999983,-0.020000000000000004
0.84,0.84,-0.725,-0.391,-0.5680000000000001,-0.46099999999999997,-0.71,-0.33499999999999996,-0.517,-0.40549999999999997,-0.10399999999999998,-0.08249999999999999,-0.013999999999999999,-0.02600000000000001
0.85,0.85,-0.729,-0.3845,-0.5904999999999999,-0.4615,-0.7005,-0.34199999999999997,-0.5339999999999999,-0.39,-0.119,-0.06599999999999999,-0.018000000000000002,-0.027999999999999997
0.86,0.86,-0.726,-0.387,-0.5830000000000001,-0.48349999999999993,-0.7160000000000001,-0.3585,-0.5415000000000001,-0.43499999999999994,-0.094,-0.06550000000000002,-0.010000000000000009,-0.006999999999999992
0.87,0.87,-0.739,-0.39549999999999996,-0.595,-0.4645,-0.727,-0.3665,-0.563,-0.41600000000000004,-0.0875,-0.04949999999999999,-0.004500000000000004,-0.019000000000000003
